Date,Vendor,Category,Amount
2025-08-28,Vine Street Cafe,Supplies,196.02
2025-10-07,Cedar & Poll,Services,205.45
2025-10-26,Cedar & Poll,Office,193.96
2025-03-03,Vine Street Cafe,Office,252.6
2025-07-15,Trellis Cleaning,Travel,263.51
2025-09-03,Northgate Supply,Office,92.94
2025-04-20,Northgate Supply,Supplies,146.56
2025-10-27,Kestrel Print,Services,110.06
2025-05-16,Northgate Supply,Office,198.19
2025-05-14,Vine Street Cafe,Office,296.88
2025-06-25,Kestrel Print,Services,131.88
2025-02-19,Brightline Courier,Supplies,60.47
2025-05-13,Brightline Courier,Office,351.84
2025-01-07,Kestrel Print,Office,203.17
2025-12-13,Halloran Tools,Office,241.1
2025-04-25,Marlowe Fuel,Meals,52.33
2025-06-01,Halloran Tools,Office,71.03
2025-12-04,Northgate Supply,Office,201.19
2025-08-06,Vine Street Cafe,Travel,194.29
2025-04-24,Cedar & Poll,Supplies,271.62
2025-02-13,Halloran Tools,Travel,18.19
2025-10-10,Northgate Supply,Travel,91.8
2025-10-21,Trellis Cleaning,Office,34.59
2025-03-07,Pemberton Office,Meals,21.77
2025-10-11,Marlowe Fuel,Supplies,46.92
2025-02-07,Trellis Cleaning,Travel,24.11
2025-06-12,Trellis Cleaning,Supplies,68.13
2025-10-16,Trellis Cleaning,Travel,359.41
2025-03-21,Cedar & Poll,Meals,375.92
2025-10-08,Kestrel Print,Travel,309.33
2025-09-07,Halloran Tools,Supplies,255.79
2025-07-02,Brightline Courier,Office,33.25
2025-05-08,Halloran Tools,Meals,183.8
2025-10-16,Marlowe Fuel,Services,87.12
2025-12-03,Cedar & Poll,Travel,206.84
2025-11-28,Trellis Cleaning,Services,47.21
2025-04-07,Northgate Supply,Office,124.06
2025-08-08,Northgate Supply,Office,87.44
2025-06-17,Trellis Cleaning,Travel,54.32
2025-03-15,Ashby Catering,Services,248.27
2025-03-19,Northgate Supply,Office,205.07
2025-06-23,Marlowe Fuel,Office,26.38
2025-11-03,Pemberton Office,Office,305.82
2025-06-05,Brightline Courier,Office,196.52
2025-06-24,Northgate Supply,Travel,330.55
2025-06-12,Brightline Courier,Supplies,372.93
2025-07-26,Northgate Supply,Supplies,243.69
2025-10-22,Halloran Tools,Supplies,247.58
2025-10-03,Brightline Courier,Office,269.93
2025-05-14,Ashby Catering,Supplies,386.1
2025-12-19,Pemberton Office,Supplies,200.27
2025-09-03,Vine Street Cafe,Services,29.74
2025-10-03,Pemberton Office,Office,108.71
2025-12-04,Pemberton Office,Services,278.09
2025-08-09,Northgate Supply,Meals,136.61
2025-11-20,Kestrel Print,Services,84.83
2025-06-22,Pemberton Office,Supplies,369.34
2025-06-13,Marlowe Fuel,Travel,267.86
2025-04-07,Halloran Tools,Travel,247.74
2025-06-07,Cedar & Poll,Travel,213.61
2025-01-23,Brightline Courier,Meals,341.81
2025-02-15,Pemberton Office,Meals,382.74
2025-07-13,Vine Street Cafe,Supplies,282.83
2025-12-27,Trellis Cleaning,Supplies,144.22
2025-01-09,Trellis Cleaning,Office,285.23
2025-05-19,Ashby Catering,Meals,273.82
2025-10-01,Cedar & Poll,Supplies,197.2
2025-01-25,Marlowe Fuel,Travel,325.03
2025-01-21,Brightline Courier,Supplies,60.95
2025-09-21,Ashby Catering,Office,287.69
2025-04-27,Pemberton Office,Meals,88.4
2025-01-25,Pemberton Office,Services,299.38
2025-03-08,Marlowe Fuel,Meals,230.64
2025-09-17,Trellis Cleaning,Travel,173.05
2025-12-08,Brightline Courier,Supplies,385.45
2025-12-13,Cedar & Poll,Supplies,196.69
2025-11-01,Halloran Tools,Services,242.11
2025-09-26,Ashby Catering,Supplies,146.63
2025-04-04,Brightline Courier,Travel,113.46
2025-07-03,Marlowe Fuel,Services,402.84
2025-06-09,Northgate Supply,Meals,216.86
2025-01-15,Ashby Catering,Services,184.04
2025-05-16,Northgate Supply,Travel,336.8
2025-02-14,Northgate Supply,Travel,228.05
2025-11-26,Cedar & Poll,Supplies,76.58
2025-09-24,Vine Street Cafe,Supplies,390.62
2025-08-19,Brightline Courier,Travel,191.13
2025-09-10,Vine Street Cafe,Travel,223.98
2025-09-09,Marlowe Fuel,Supplies,394.19
2025-10-07,Marlowe Fuel,Travel,399.57
2025-09-09,Trellis Cleaning,Supplies,97.18
2025-09-04,Vine Street Cafe,Office,256.46
2025-01-18,Northgate Supply,Services,379.44
2025-09-26,Trellis Cleaning,Office,211.47
2025-12-06,Brightline Courier,Services,198.82
2025-07-09,Kestrel Print,Supplies,212.26
2025-06-14,Pemberton Office,Services,142.98
2025-04-14,Trellis Cleaning,Office,382.56
2025-03-23,Northgate Supply,Office,94.48
2025-04-01,Marlowe Fuel,Meals,303.1
2025-04-20,Pemberton Office,Office,214.87
2025-10-04,Vine Street Cafe,Services,116.72
2025-04-23,Vine Street Cafe,Supplies,27.16
2025-11-14,Vine Street Cafe,Services,80.93
2025-04-28,Vine Street Cafe,Travel,226.67
2025-09-20,Trellis Cleaning,Travel,109.67
2025-12-21,Ashby Catering,Travel,142.45
2025-06-07,Kestrel Print,Travel,367.69
2025-03-08,Cedar & Poll,Office,120.24
2025-02-14,Halloran Tools,Services,329.23
2025-03-07,Halloran Tools,Office,55.85
2025-10-22,Ashby Catering,Meals,63.47
2025-09-21,Ashby Catering,Services,411.44
2025-04-26,Brightline Courier,Supplies,59.83
2025-01-25,Vine Street Cafe,Services,220.84
2025-10-16,Cedar & Poll,Travel,90.71
2025-04-06,Cedar & Poll,Meals,383.2
2025-02-19,Northgate Supply,Travel,392.89
2025-08-03,Brightline Courier,Meals,172.01
2025-07-17,Ashby Catering,Supplies,100.77
2025-06-01,Northgate Supply,Travel,89.42
2025-08-12,Ashby Catering,Supplies,381.21
2025-10-06,Brightline Courier,Services,330.19
2025-06-03,Halloran Tools,Services,254.24
2025-09-19,Ashby Catering,Meals,128.13
2025-02-24,Cedar & Poll,Supplies,70.49
2025-06-18,Ashby Catering,Supplies,319.5
2025-07-07,Cedar & Poll,Office,332.15
2025-05-16,Brightline Courier,Office,367.89
2025-11-20,Northgate Supply,Travel,125.55
2025-11-10,Ashby Catering,Travel,277.95
2025-10-06,Vine Street Cafe,Office,171.5
2025-08-21,Kestrel Print,Office,318.13
2025-10-01,Brightline Courier,Services,60.57
2025-04-09,Pemberton Office,Supplies,216.88
2025-04-21,Halloran Tools,Office,56.79
2025-05-09,Ashby Catering,Services,230.95
2025-07-17,Trellis Cleaning,Office,269.38
2025-11-03,Vine Street Cafe,Services,281.36
2025-01-13,Cedar & Poll,Supplies,203.87
